screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
ranaayyub,Rana Ayyub,268676434,1254431832625614848,/RanaAyyub/status/1254431832625614848,2020-04-26 15:27:09,1587914829,Thank you Andrewhttps://twitter.com/AndrewBuncombe/status/1254422516308664320 …,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Thank you Andrew<img alt=""🙏"" aria-label=""Emoji: Folded hands"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f.png"" title=""Folded hands""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/AndrewBuncombe/status/1254422516308664320"" dir=""ltr"" href=""https://t.co/gk9nIA5Q6T"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/AndrewBuncombe/status/1254422516308664320""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/AndrewBuncombe</span><span class=""invisible"">/status/1254422516308664320</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/AndrewBuncombe/status/1254422516308664320'],[],False,[],,3703,333,114,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254386650937020416,/RanaAyyub/status/1254386650937020416,2020-04-26 12:27:37,1587904057,This image by @ahmermkhan #RamadanMubarakpic.twitter.com/h8iA437WJd,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This image by <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""198017141"" dir=""ltr"" href=""/ahmermkhan""><s>@</s><b>ahmermkhan</b></a> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RamadanMubarak?src=hash""><s>#</s><b>RamadanMubarak</b></a><a dir=""ltr"" href=""/hashtag/RamadanMubarak?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/Ramadan_2020_Moon/Ramadan_2020_Moon.png""/></a></span><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/h8iA437WJd"">pic.twitter.com/h8iA437WJd</a></p>",[],['RamadanMubarakpic'],True,['https://pbs.twimg.com/media/EWh6ArUXQAAJ4Jl.jpg'],,7610,653,189,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254386261932027904,/RanaAyyub/status/1254386261932027904,2020-04-26 12:26:04,1587903964,"Also, this Surf Excel Ramzan advert is important for India, an antidote to the divisiveness and hate around us https://youtu.be/LDhUPMk7pdM ","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Also, this Surf Excel Ramzan advert is important for India, an antidote to the divisiveness and hate around us <img alt=""♥️"" aria-label=""Emoji: Heart suit"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2665.png"" title=""Heart suit""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://youtu.be/LDhUPMk7pdM"" dir=""ltr"" href=""https://t.co/kpXTEHtGFi"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/LDhUPMk7pdM""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/LDhUPMk7pdM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://youtu.be/LDhUPMk7pdM'],[],False,[],,1172,186,86,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254381221892755456,/RanaAyyub/status/1254381221892755456,2020-04-26 12:06:03,1587902763,"Just wanted to check. Are there any helplines where those suffering from mental health issues this lockdown can reach out to? Anxiety, depression on the rise. Happy to amplify any such initiatives. I fortunately have a great therapist who has been helping with my anxiety issues.","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Just wanted to check. Are there any helplines where those suffering from mental health issues this lockdown can reach out to? Anxiety, depression on the rise. Happy to amplify any such initiatives. I fortunately have a great therapist who has been helping with my anxiety issues.</p>",[],[],False,[],,3622,449,449,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254342708493086720,/RanaAyyub/status/1254342708493086720,2020-04-26 09:33:00,1587893580,This Surf Excel advert of charity and good deeds in Ramzan at the time of Covid brought tears to my eyes. Watch ithttps://youtu.be/SK0aFhkyka8 ,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This Surf Excel advert of charity and good deeds in Ramzan at the time of Covid brought tears to my eyes. Watch it<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://youtu.be/SK0aFhkyka8"" dir=""ltr"" href=""https://t.co/j6IoMsQY1N"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/SK0aFhkyka8""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/SK0aFhkyka8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://youtu.be/SK0aFhkyka8'],[],False,[],,4983,1156,305,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254362910350073856,/RanaAyyub/status/1254362910350073856,2020-04-26 10:53:17,1587898397,https://twitter.com/KhyatiShree_/status/1253964796291997697 …,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><img alt=""👇"" aria-label=""Emoji: Down pointing backhand index"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447.png"" title=""Down pointing backhand index""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/KhyatiShree_/status/1253964796291997697"" dir=""ltr"" href=""https://t.co/tiVHxhhdDj"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/KhyatiShree_/status/1253964796291997697""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/KhyatiShree_/s</span><span class=""invisible"">tatus/1253964796291997697</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/KhyatiShree_/status/1253964796291997697'],[],False,[],,2749,522,266,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254345395326480391,/RanaAyyub/status/1254345395326480391,2020-04-26 09:43:41,1587894221,Jab neki karne ki chah hoti hai na toh neki karne ki raah bhi hoti hai. Do not let COVID stop you from helping humanity.https://twitter.com/RanaAyyub/status/1254342708493086720 …,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""hi"">Jab neki karne ki chah hoti hai na toh neki karne ki raah bhi hoti hai. Do not let COVID stop you from helping humanity.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/RanaAyyub/status/1254342708493086720"" dir=""ltr"" href=""https://t.co/zkCFYJwPoJ"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/RanaAyyub/status/1254342708493086720""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/RanaAyyub/stat</span><span class=""invisible"">us/1254342708493086720</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/RanaAyyub/status/1254342708493086720'],[],False,[],,1597,231,100,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254342708493086720,/RanaAyyub/status/1254342708493086720,2020-04-26 09:33:00,1587893580,This Surf Excel advert of charity and good deeds in Ramzan at the time of Covid brought tears to my eyes. Watch ithttps://youtu.be/SK0aFhkyka8 ,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This Surf Excel advert of charity and good deeds in Ramzan at the time of Covid brought tears to my eyes. Watch it<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://youtu.be/SK0aFhkyka8"" dir=""ltr"" href=""https://t.co/j6IoMsQY1N"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/SK0aFhkyka8""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/SK0aFhkyka8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://youtu.be/SK0aFhkyka8'],[],False,[],,4983,1156,305,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254341425652785154,/RanaAyyub/status/1254341425652785154,2020-04-26 09:27:55,1587893275,"India, for instance, conducts just 335 tests per million population whereas the numbers for western countries are far higherhttps://theprint.in/health/why-south-asia-has-20-of-worlds-population-but-less-than-2-of-covid-19-cases/408471/ …","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">India, for instance, conducts just 335 tests per million population whereas the numbers for western countries are far higher<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://theprint.in/health/why-south-asia-has-20-of-worlds-population-but-less-than-2-of-covid-19-cases/408471/"" dir=""ltr"" href=""https://t.co/FiaHrbpOZU"" rel=""nofollow noopener"" target=""_blank"" title=""https://theprint.in/health/why-south-asia-has-20-of-worlds-population-but-less-than-2-of-covid-19-cases/408471/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">theprint.in/health/why-sou</span><span class=""invisible"">th-asia-has-20-of-worlds-population-but-less-than-2-of-covid-19-cases/408471/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://theprint.in/health/why-south-asia-has-20-of-worlds-population-but-less-than-2-of-covid-19-cases/408471/'],[],False,[],,813,165,135,True,False,,[]
ranaayyub,Rana Ayyub,268676434,1254340834880884736,/RanaAyyub/status/1254340834880884736,2020-04-26 09:25:34,1587893134,Five thousand positive cases in Mumbai so far. 250 from Dharavi alone. I remember when I went on my reporting trip to Dharavi four weeks ago I had written that we are staring at a big catastrophe in the slums with population of more than a million. Expecting a huge surge in cases,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Five thousand positive cases in Mumbai so far. 250 from Dharavi alone. I remember when I went on my reporting trip to Dharavi four weeks ago I had written that we are staring at a big catastrophe in the slums with population of more than a million. Expecting a huge surge in cases</p>",[],[],False,[],,3929,712,254,True,False,,[]
